id,bs,dropout,epoch,factor,fcl,gcn_h,lr,min_lr,model,num_of_ff_layers,num_of_gcn_layers,patience,weight_decay
309497,32,0.0,50,0.8,128,16,0.0001,2e-05,GATConv,1,3,5,0.0001
142043,16,0.1,100,0.5,128,128,0.0001,0.0001,GATConv,1,3,10,3e-06
417126,32,0.1,100,0.5,128,32,0.1,2e-05,GATConv,1,2,10,0.001
785350,64,0.2,100,0.5,128,16,0.1,0.0001,GATConv,1,2,20,0.1
268529,16,0.2,200,0.8,512,128,0.01,0.0001,GATConv,1,3,20,1e-05
655775,64,0.1,30,0.8,128,64,0.1,0.0001,GATConv,2,2,10,0.1
752802,64,0.2,30,0.2,64,16,0.01,2e-05,GATConv,2,2,20,0.0001
471494,32,0.2,30,0.8,128,64,0.01,2e-05,GATConv,1,2,20,1e-05
14747,16,0.0,30,0.8,512,64,0.001,0.0001,GATConv,2,3,5,0.0001
357735,32,0.0,200,0.8,256,32,0.01,2e-05,GATConv,1,3,5,0.1
304258,32,0.0,50,0.5,256,32,0.0001,2e-05,GATConv,2,3,20,3e-06
175107,16,0.1,200,0.8,512,16,0.0001,2e-05,GATConv,1,3,20,0.0001
782007,64,0.2,50,0.2,512,32,0.1,0.0001,GATConv,1,3,20,0.0001
443108,32,0.1,200,0.5,256,128,0.1,0.0001,GATConv,1,2,10,3e-06
50841,16,0.0,100,0.5,256,32,0.0001,0.0001,GATConv,1,3,10,0.001
724839,64,0.1,200,0.8,128,64,0.1,2e-05,GATConv,2,2,10,1e-05
707490,64,0.1,100,0.2,64,32,0.0001,0.0001,GATConv,2,2,5,0.1
332787,32,0.0,100,0.8,128,32,0.01,2e-05,GATConv,1,3,20,0.0001
88832,16,0.0,200,0.2,256,32,0.1,2e-05,GATConv,2,2,5,0.0001
275068,16,0.2,200,0.2,512,32,0.1,2e-05,GATConv,1,3,20,3e-06
475960,32,0.2,30,0.8,512,128,0.001,2e-05,GATConv,2,2,20,0.1
204021,16,0.2,30,0.2,256,32,0.1,2e-05,GATConv,1,3,10,0.001
49163,16,0.0,100,0.5,128,64,0.01,0.0001,GATConv,1,3,10,3e-06
314335,32,0.0,50,0.8,512,64,0.0001,2e-05,GATConv,2,3,20,0.1
213298,16,0.2,50,0.5,512,16,0.01,2e-05,GATConv,2,3,20,3e-06
470764,32,0.2,30,0.8,128,16,0.0001,2e-05,GATConv,1,2,5,1e-05
686914,64,0.1,50,0.2,128,128,0.1,2e-05,GATConv,2,2,5,1e-05
291690,32,0.0,30,0.8,512,128,0.001,0.0001,GATConv,2,2,5,0.1
62384,16,0.0,100,0.2,64,32,0.0001,0.0001,GATConv,2,2,20,1e-05
759945,64,0.2,30,0.2,512,128,0.1,0.0001,GATConv,2,3,5,0.1
525692,32,0.2,100,0.2,128,128,0.1,0.0001,GATConv,2,2,5,0.0001
336104,32,0.0,100,0.8,512,16,0.1,0.0001,GATConv,2,2,20,1e-05
479771,32,0.2,30,0.2,128,128,0.001,2e-05,GATConv,1,2,20,0.001
322280,32,0.0,50,0.2,512,128,0.01,0.0001,GATConv,1,3,10,0.1
441348,32,0.1,200,0.5,128,128,0.01,0.0001,GATConv,2,3,5,3e-06
254676,16,0.2,200,0.5,64,64,0.001,2e-05,GATConv,2,2,10,0.001
539698,32,0.2,200,0.8,128,16,0.01,2e-05,GATConv,2,3,20,3e-06
88651,16,0.0,200,0.2,256,16,0.001,0.0001,GATConv,2,2,5,0.001
214172,16,0.2,50,0.5,512,64,0.1,0.0001,GATConv,2,2,5,0.0001
754320,64,0.2,30,0.2,64,128,0.001,2e-05,GATConv,1,2,5,0.1
650335,64,0.1,30,0.5,256,64,0.0001,2e-05,GATConv,2,3,20,0.1
142874,16,0.1,100,0.5,256,32,0.001,0.0001,GATConv,1,2,20,1e-05
151489,16,0.1,100,0.8,256,128,0.001,2e-05,GATConv,2,3,5,1e-05
402186,32,0.1,50,0.8,128,32,0.0001,0.0001,GATConv,1,2,10,0.001
612202,64,0.0,100,0.8,256,128,0.01,0.0001,GATConv,1,3,10,0.0001
273986,16,0.2,200,0.2,256,64,0.0001,2e-05,GATConv,1,3,20,0.001
325409,32,0.0,100,0.5,128,32,0.0001,0.0001,GATConv,1,3,20,1e-05
662660,64,0.1,30,0.2,128,16,0.001,2e-05,GATConv,1,3,10,0.1
746499,64,0.2,30,0.8,64,128,0.1,0.0001,GATConv,2,2,10,1e-05
153244,16,0.1,100,0.8,512,128,0.01,2e-05,GATConv,1,2,5,1e-05
207930,16,0.2,50,0.5,64,32,0.1,0.0001,GATConv,2,2,5,0.1
232371,16,0.2,100,0.5,128,16,0.1,2e-05,GATConv,2,3,10,0.001
276323,16,0.2,200,0.2,512,128,0.001,0.0001,GATConv,1,3,10,3e-06
765968,64,0.2,50,0.5,256,128,0.0001,2e-05,GATConv,1,2,10,3e-06
508377,32,0.2,100,0.5,64,128,0.1,2e-05,GATConv,2,3,20,0.0001
754044,64,0.2,30,0.2,64,64,0.0001,0.0001,GATConv,1,3,10,1e-05
171061,16,0.1,200,0.8,128,16,0.01,0.0001,GATConv,1,2,5,0.001
171244,16,0.1,200,0.8,128,16,0.0001,2e-05,GATConv,1,2,5,1e-05
531690,32,0.2,200,0.5,64,128,0.001,0.0001,GATConv,2,2,5,0.1
67622,16,0.0,100,0.2,512,16,0.0001,0.0001,GATConv,1,2,5,0.0001
382611,32,0.1,30,0.8,512,32,0.1,2e-05,GATConv,2,3,10,0.001
765301,64,0.2,50,0.5,256,64,0.01,0.0001,GATConv,1,2,5,0.001
215286,16,0.2,50,0.8,64,16,0.001,2e-05,GATConv,1,2,10,0.001
731387,64,0.1,200,0.2,64,128,0.001,0.0001,GATConv,2,3,5,0.0001
220414,16,0.2,50,0.8,256,128,0.1,0.0001,GATConv,2,2,5,1e-05
821247,64,0.2,200,0.8,512,64,0.0001,0.0001,GATConv,1,3,20,0.0001
242089,16,0.2,100,0.8,256,16,0.01,2e-05,GATConv,2,3,5,1e-05
404431,32,0.1,50,0.8,256,64,0.001,2e-05,GATConv,2,2,5,0.001
302480,32,0.0,50,0.5,128,64,0.1,0.0001,GATConv,1,3,10,0.1
556100,64,0.0,30,0.5,128,64,0.001,2e-05,GATConv,1,3,10,0.1
301165,32,0.0,50,0.5,64,128,0.01,0.0001,GATConv,1,3,20,0.1
571398,64,0.0,30,0.2,128,64,0.01,0.0001,GATConv,1,3,5,3e-06
83876,16,0.0,200,0.8,512,64,0.001,0.0001,GATConv,2,3,20,0.001
684236,64,0.1,50,0.2,64,32,0.01,0.0001,GATConv,2,3,20,0.001
318797,32,0.0,50,0.2,256,16,0.1,0.0001,GATConv,1,3,5,0.0001
13879,16,0.0,30,0.8,512,16,0.0001,0.0001,GATConv,1,3,5,1e-05
536431,32,0.2,200,0.5,512,32,0.001,2e-05,GATConv,2,2,5,0.001
398146,32,0.1,50,0.5,512,32,0.01,0.0001,GATConv,2,3,5,0.001
817064,64,0.2,200,0.8,128,64,0.1,0.0001,GATConv,2,2,20,1e-05
117957,16,0.1,50,0.5,128,32,0.001,0.0001,GATConv,2,3,20,0.0001
603198,64,0.0,100,0.5,256,16,0.001,0.0001,GATConv,1,3,5,3e-06
620151,64,0.0,100,0.2,256,128,0.0001,0.0001,GATConv,2,3,10,0.001
424334,32,0.1,100,0.8,128,16,0.1,2e-05,GATConv,1,2,20,1e-05
658083,64,0.1,30,0.8,256,128,0.1,2e-05,GATConv,1,2,5,3e-06
471978,32,0.2,30,0.8,128,128,0.01,2e-05,GATConv,1,3,5,3e-06
152602,16,0.1,100,0.8,512,32,0.0001,0.0001,GATConv,1,3,10,0.0001
656279,64,0.1,30,0.8,128,128,0.1,0.0001,GATConv,2,3,20,1e-05
576070,64,0.0,50,0.5,64,16,0.1,0.0001,GATConv,1,2,20,0.1
168502,16,0.1,200,0.5,512,128,0.1,2e-05,GATConv,1,3,10,0.0001
211650,16,0.2,50,0.5,256,16,0.0001,0.0001,GATConv,2,2,5,0.1
646947,64,0.1,30,0.5,64,128,0.0001,2e-05,GATConv,1,3,20,0.0001
25445,16,0.0,50,0.5,128,32,0.1,2e-05,GATConv,1,2,10,0.1
787183,64,0.2,100,0.5,128,128,0.0001,0.0001,GATConv,2,2,20,3e-06
440134,32,0.1,200,0.5,128,16,0.0001,0.0001,GATConv,2,2,5,1e-05
665153,64,0.1,30,0.2,256,32,0.001,0.0001,GATConv,2,3,10,3e-06
662153,64,0.1,30,0.2,64,128,0.01,0.0001,GATConv,2,3,10,3e-06
280537,32,0.0,30,0.5,256,16,0.01,0.0001,GATConv,2,2,10,0.0001
684547,64,0.1,50,0.2,64,64,0.1,0.0001,GATConv,1,2,10,0.0001
452917,32,0.1,200,0.8,512,128,0.001,2e-05,GATConv,2,2,10,0.0001
